L1	L2	L4	Title
Women	New Arrivals		High Waisted Shorts, Summer Shorts
Women	Bestsellers		Pepper Fleece Sweatpants, French Terry Dress, Organic Cotton Top
Women	Clothing	Tops	Spandex Top
Women	Clothing	Leggings	Journey Leggings, Travel Leggings, Spandex Leggings, Machine Washable Leggings, Workout Leggings
Women	Clothing	Shorts	High Waisted Shorts, High Waisted Bike Shorts, 7 Inch Inseam Shorts, Breathable Shorts
Women	Clothing	Shirts	Everyday Shirt
Women	Clothing	Sweater and Cardigans	Acrylic Sw
