Timestamp,What is your age?,What is your gender?,Marital Status,Are you an earning member of your household?,"After lockdowns, my mental health has become worse.",I feel more insecure about my future after the pandemic than I did before.,I feel more disappointed in myself now than I did before the pandemic.,My responsibilities and work have increased after the lockdowns. ,I feel lonely more often after the lockdown than I did before.,I get tired more easily than I did before the pandemic.,I am more worried about my physical health than I was before the lockdown.,It takes more effort for me to do my normal work now than it did before lockdown.,I have trouble concentrating on activities I used to enjoy before the lockdowns.,My appetite has reduced after the lockdowns.,I have trouble falling asleep and cannot sleep as well as I used to.,Which gender do you think the pandemic has affected more?
4/9/2022 20:25:25,40 - 49,Female,Married,Yes,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,The pandemic has affected everyone equally.
4/9/2022 23:01:09,18 - 29,Female,Unmarried,No,Strongly agree,Strongly Agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,The pandemic has affected everyone equally.
4/10/2022 2:49:19,50 - 59,Female,Married,Yes,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,The pandemic has affected everyone equally.
4/10/2022 8:18:55,40 - 49,Female,Married,No,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Senior citizens
4/10/2022 9:07:18,18 - 29,Female,Married,No,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,The pandemic has affected everyone equally.
4/10/2022 10:37:04,18 - 29,Female,Unmarried,No,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,The pandemic has affected everyone equally.
4/10/2022 10:42:01,18 - 29,Female,Unmarried,No,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Agree,Strongly disagree,The pandemic has affected everyone equally.
4/10/2022 10:44:53,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,The pandemic has affected everyone equally.
4/10/2022 10:48:22,18 - 29,Female,Unmarried,No,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,The pandemic has affected everyone equally.
4/10/2022 10:50:26,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,The pandemic has affected everyone equally.
4/10/2022 10:52:28,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Neutral,Disagree,The pandemic has affected everyone equally.
4/10/2022 10:52:47,18 - 29,Female,Unmarried,No,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Female
4/10/2022 11:11:36,18 - 29,Female,Unmarried,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,The pandemic has affected everyone equally.
4/10/2022 12:39:59,18 - 29,Female,Unmarried,No,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,The pandemic has affected everyone equally.
4/10/2022 12:58:58,40 - 49,Female,Married,No,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Female
4/10/2022 13:09:57,40 - 49,Female,Married,No,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,The pandemic has affected everyone equally.
4/10/2022 17:21:43,18 - 29,Female,Unmarried,No,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,The pandemic has affected everyone equally.
4/10/2022 18:59:46,18 - 29,Female,Unmarried,No,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly Agree,The pandemic has affected everyone equally.
4/10/2022 22:01:37,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Female
4/11/2022 14:39:00,18 - 29,Female,Unmarried,No,Agree,Agree,Neutral,Strongly Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Disagree,The pandemic has affected everyone equally.
4/11/2022 19:46:08,18 - 29,Male,Unmarried,No,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Female
4/12/2022 8:36:05,18 - 29,Female,Unmarried,No,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Prefer not to say
4/12/2022 9:06:46,18 - 29,Female,Unmarried,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,The pandemic has affected everyone equally.
